name,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
apir_ticker,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
29/05/2015,0.034234459,-0.008800802,0.011133733,0.046222091,0.03684364,,0.037531344,,,0.011331344,0.020231344,,0.008831344,0.016731344,0.022631344,,0.054465592,0.0399,0.0398,,0.034910431,0.044407144,0.0314
30/06/2015,-0.031554344,-0.009456808,0.014184514,-0.003030802,-0.004015526,,-0.032568656,,,-0.044768656,-0.031968656,,-0.000468656,-0.022268656,-0.016968656,,-0.00790438,-0.0293,-0.0313,,-0.026609268,-0.033894635,-0.0273
31/07/2015,0.071485064,-0.019800872,-0.025647014,0.057078011,0.072429856,,0.068231344,,,0.081331344,0.014931344,,0.001831344,0.003331344,0.025131344,,0.06366159,0.0642,0.0853,,0.066002247,0.050958325,0.0394
31/08/2015,-0.042034544,0.002857298,0.015591014,0.034383542,0.031421471,,-0.039468656,,,-0.036568656,-0.048768656,,-0.010568656,-0.039468656,0.003931344,,-0.012692568,-0.0281,-0.0385,,-0.031382839,-0.037405024,-0.0318
30/09/2015,-0.023652044,-0.001640433,-0.006558193,0.037277565,0.024372234,,-0.018568656,,,-0.014268656,-0.043768656,,-0.011168656,-0.025168656,-0.047468656,,-0.018175701,-0.0177,0.0008,,-0.027562998,-0.047633142,-0.0461
30/10/2015,0.058320445,-0.004636689,-0.023672957,-0.044172621,-0.017195771,,0.058231344,,,0.060031344,0.050431344,,0.018231344,0.089031344,0.038431344,,0.046791554,0.0533,0.067,,0.062824559,0.06679983,0.0678
30/11/2015,-0.018578999,-0.006333596,0.016269172,-0.001789007,0.007275499,,0.0000313,,-0.043268656,-0.013368656,-0.031368656,,-0.002168656,-0.045968656,-0.019268656,,-0.000710847,-0.0101,-0.0139,,-0.020604505,-0.033012489,-0.0213
31/12/2015,-0.026756612,-0.003902981,-0.008272326,0.015719752,-0.003444437,,-0.027568656,,-0.019168656,-0.005568656,-0.039468656,-0.006668656,0.012431344,0.011931344,-0.028868656,,-0.027541053,-0.0309,-0.0198,,-0.022781806,-0.018221584,-0.0376
29/01/2016,-0.03365579,0.005523183,-0.02107403,0.046096813,0.041400067,,-0.068268656,,-0.053268656,-0.018668656,-0.068268656,-0.048068656,-0.038068656,-0.026268656,-0.043768656,,-0.032775435,-0.028,-0.0143,,-0.032272584,-0.05963959,-0.0512
29/02/2016,-0.018273037,0.001322604,0.016633772,-0.010601893,-0.004985795,,0.003031344,,-0.043968656,-0.006668656,-0.009368656,-0.003768656,-0.009468656,-0.003368656,-0.012268656,,-0.006248699,0.0014,-0.0125,,-0.016981281,-0.017760653,-0.0165
31/03/2016,-0.00592978,0.001354512,0.017811942,-0.083992967,-0.069353135,,-0.004868656,,-0.004368656,0.000431344,0.009631344,0.016331344,-0.006268656,0.019331344,-0.027268656,,-0.00549987,0.0061,-0.0099,,-0.009912795,-0.013745829,-0.0051
29/04/2016,0.023469772,0.01814726,0.00819385,-0.008413511,-0.011113797,,0.013831344,,0.012731344,-0.011968656,0.026831344,0.021131344,0.003031344,0.009531344,0.030731344,,0.00850182,0.0213,-0.0006,,0.023588015,0.040607506,0.0492
31/05/2016,0.05589435,-0.007260424,0.00536795,0.069430578,0.068608914,,0.059531344,,0.078331344,0.075931344,0.035831344,0.068431344,0.006631344,0.061931344,0.051231344,,0.092687006,0.0666,0.0641,,0.06020171,0.049527117,0.0499
30/06/2016,-0.040658598,-0.001371726,-0.009367483,0.025838005,-0.021793417,,-0.051768656,,-0.062668656,-0.043068656,-0.052868656,-0.059268656,-0.000768656,-0.023368656,-0.053068656,,-0.061324939,-0.0292,-0.0356,,-0.038274494,-0.067030587,-0.0479
29/07/2016,0.021527237,-0.009181712,0.014871064,-0.030231266,-0.013215099,,0.028831344,,0.034931344,0.025131344,0.036831344,0.036831344,0.013731344,0.031431344,0.016431344,,0.018629741,0.0228,0.029,,0.020006372,0.036586097,0.0206
31/08/2016,0.008506167,0.017340246,-0.000612947,-0.025318075,0.004697932,,0.006031344,,0.011431344,0.010631344,0.024131344,0.005231344,-0.004868656,0.013031344,0.015731344,,0.024631024,0.0108,0.0023,,0.012920195,0.028045181,0.0279
30/09/2016,-0.014270205,-0.004899681,0.010565386,-0.000218445,-0.016171807,,-0.009968656,,-0.016568656,-0.002568656,-0.016068656,-0.003268656,0.006231344,-0.003468656,-0.033568656,,-0.022593995,-0.0176,-0.0124,,-0.013203228,-0.013790635,-0.0137
31/10/2016,-0.013421012,0.023622094,-0.019751096,0.002280136,-0.004128703,,-0.033768656,,-0.029968656,-0.007268656,-0.024768656,-0.016868656,-0.011768656,-0.017168656,-0.008768656,,-0.03396991,-0.017,-0.0252,,-0.013757168,0.008593889,0.0056
30/11/2016,0.043146583,0.028282316,0.028757696,0.016092931,0.013671533,,0.021131344,,0.047631344,0.025131344,0.051231344,0.041231344,0.008531344,-0.024668656,0.054231344,,0.086215731,0.0827,0.0321,,0.045029429,0.041081753,0.0752
30/12/2016,0.047831353,0.021979337,-0.002418861,0.010735996,0.019751609,,0.028131344,,0.005131344,0.026831344,0.034931344,0.044731344,-0.000568656,0.010531344,0.028131344,,0.036388754,0.0358,0.0427,,0.044753712,0.051937236,0.0558
