Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Realm High Income Fund Adviser Class,OMF18AU,5.130783886503817,3.9654274285005604,5.257035171152201,0.21003340762247955,3.4156997226597903,Domestic Duration,Domestic Credit,0.02452923777906782,95,Realm High Income Fund Adviser Class
Macquarie Corporate Bond Fund Class E,AMP237AU,-1.8995046629140144,7.705810538651115,4.293010043771888,7.720547943657041,1.5787666109867267,Domestic FRN,Domestic Credit,0.023261569690875897,109,Macquarie Corporate Bond Fund Class E
Macquarie Corporate Bond Fund Class R,AMP924AU,3.4397185462680286,9.816951228218734,6.7275933773482866,3.270950638700629,-0.6269153113610406,Domestic Credit,Domestic Duration,0.020267618461008267,182,Macquarie Corporate Bond Fund Class R
Perpetual WS Plus Diversified Income,BTA556AU,2.4594544664673825,3.9644930317495954,0.5676557956248559,7.538968540442067,3.905997443761566,Domestic FRN,Domestic Credit,0.02845753855072754,117,Perpetual WS Plus Diversified Income
Macquarie WS Plus Income Opportunities,BTA544AU,0.9099425284529643,3.3615579149486354,11.846387529259962,4.614997356738962,7.673057574700988,Domestic Duration,Domestic FRN,0.02211116023040701,116,Macquarie WS Plus Income Opportunities
Macquarie WS Plus Corporate Bond Fund,BTA474AU,3.5985582533227065,8.347225646315621,4.852003192991833,7.825324937151681,1.22367920517127,Domestic Credit,Domestic FRN,0.02270952118617026,117,Macquarie WS Plus Corporate Bond Fund
Vanguard Aust Corporate Fixed Interest,VAN65AU,0.316907376557503,17.233981062865038,61.0650764876273,6.845692979480701,1.8751941441130229,Domestic Duration,Domestic Credit,0.0113777755611108,118,Vanguard Aust Corporate Fixed Interest
Antares Income Fund,PPL28AU,6.719359488805153,9.226993416863454,-0.8790345147463097,1.2059672901306429,-0.4357520986251318,Domestic Credit,nan,0.024212552617286325,129,Antares Income Fund
Mutual Income Fund A,PRM15AU,5.113496485853999,3.894741984025258,0.12251190740323467,6.439865222301829,-0.15645591132264847,Domestic FRN,Domestic Credit,0.023875097464676573,136,Mutual Income Fund A
Janus Henderson Diversified Credit,IOF127AU,0.5345202313839605,4.366164201149502,2.6459950662888234,7.826860429429781,4.44354640564864,Domestic FRN,Domestic Credit,0.029952075824884968,142,Janus Henderson Diversified Credit
Realm High Income - Wholesale,OMF9AU,5.809595893958751,4.3602419148248055,6.166548468797959,0.8541843579131869,3.8597462081743603,Domestic Duration,Domestic Credit,0.022381259873711444,130,Realm High Income - Wholesale
Perpetual Pure Credit Alpha Fund W,PER669AU,3.766462520001626,7.623787523086056,-0.06778486091997597,2.7283167514123443,1.202470534902072,Domestic Credit,Domestic FRN,0.028361619226823547,149,Perpetual Pure Credit Alpha Fund W
Perpetual Dynamic Fixed Income,PER557AU,2.7817183012912055,5.483001690506378,18.0255618798658,6.792758732494161,2.751362011702607,Domestic Duration,Domestic FRN,0.015264468016408869,165,Perpetual Dynamic Fixed Income
EQT Spectrum Strategic Income,ETL72AU,3.622198384696199,1.9167471549968798,-0.3138890761915653,4.756631951544864,1.2472262750846215,Domestic FRN,nan,0.03261369452580545,182,EQT Spectrum Strategic Income
Macquarie Corporate Bond Fund Class H,AMP1285AU,2.535367698985196,10.159125474407338,6.909477571778851,2.423369265805854,-0.9396168973164668,Domestic Credit,Domestic Duration,0.019904239208276258,179,Macquarie Corporate Bond Fund Class H
Macquarie Corporate Bond Fund Class A,AMP557AU,3.016676869500075,9.564216081297632,6.824823249231149,3.3410010382945523,-1.0408097274010957,Domestic Credit,Domestic Duration,0.02004035411880423,182,Macquarie Corporate Bond Fund Class A
Arculus Preferred Income Fund,DDH1AU,2.5224642709612994,0.1412675201524119,1.6008837758093364,8.534109009168446,2.545451481487883,Domestic FRN,nan,0.042606893582059185,238,Arculus Preferred Income Fund
CFS Daintree Core Income,FSF694AU,4.088282742309937,1.2598983620928095,1.1470200734293734,6.060831235108588,8.16035948099151,Domestic FRN,nan,0.035430021142104196,234,CFS Daintree Core Income
IOOF Income Trust,PIM3AU,4.901372875812664,-1.518324163972754,2.183693024832749,8.171468719524395,5.139471782657928,Domestic FRN,nan,0.04050236158105392,244,IOOF Income Trust
Coolabah Short Term Income Base Fee,ETL854AU,4.111654659604627,2.2976683510334848,-1.1020143268417584,8.110048006167768,1.9915870735046657,Domestic FRN,nan,0.026688141085602086,118,Coolabah Short Term Income Base Fee
U Ethical Enhanced Income Trust W,UGF1128AU,3.1676174699933277,2.4613958424085567,5.019903275633204,1.6118107444559755,0.8962549178148375,Domestic Duration,nan,0.0261859845799532,49,U Ethical Enhanced Income Trust W
Stellan Capital Pure Income,CCI6719AU,-2.0697197022588347,2.2524679532436034,-0.264023486876656,4.192827351299375,1.2165789858210057,Domestic FRN,nan,0.044859808151823256,28,Stellan Capital Pure Income
Daintree Hybrid Opportunities,WPC254AU,2.3885441335731508,1.0391255391847232,0.11968966678868445,-0.015052064807078559,1.8967665631021213,Alpha,nan,0.05177847888919001,54,Daintree Hybrid Opportunities
SGH Enhanced Income Trust,ETL6695AU,2.3843960565905737,-1.8633889253720433,-1.5532454631740942,6.923784225318063,2.184068580813109,Domestic FRN,nan,0.03872318534014578,53,SGH Enhanced Income Trust
Kapstream Absolute Return Income X,HOW1327AU,2.923578763894463,3.3148331902050963,1.6275361435165085,1.3701179670235664,1.096472060905566,Domestic Credit,nan,0.030870564636213325,45,Kapstream Absolute Return Income X
Lazard Global Convertibles W,LAZ3113AU,-0.03239732706871848,0.2017827750289865,2.1261042183644516,1.360146542870468,7.159376432882605,Alpha,nan,0.11547935111811042,47,Lazard Global Convertibles W
Coolabah Short Term Income Instl A,SLT7141AU,3.029587032954709,1.4224042764159799,-1.6105961544444412,6.525928706487723,2.7937606612512402,Domestic FRN,nan,0.03379912771300025,58,Coolabah Short Term Income Instl A
Coolabah Short Term Income Direct Inv,SLT51AU,4.343879665778211,1.8516109255687472,-1.083035919599495,7.537173151588089,1.4158014477644911,Domestic FRN,nan,0.026668916212604882,119,Coolabah Short Term Income Direct Inv
Franklin Australian Absolute Return Bd M,FRT28AU,1.3918229965188198,8.078085553963549,16.65948249164941,2.0979051879843746,3.5958465515119533,Domestic Duration,Domestic Credit,0.015329007194165604,116,Franklin Australian Absolute Return Bd M
Franklin Australian Absolute Return Bd A,FRT27AU,1.1674562216699391,8.107368535659177,16.694487558083996,2.115861242931748,3.5839569125931012,Domestic Duration,Domestic Credit,0.015322950519694368,116,Franklin Australian Absolute Return Bd A
Kapstream WS Plus Absolute Return Income,BTA539AU,3.164583366357,5.981888128447733,3.5410187020863098,4.692089577360687,-0.03642610033449567,Domestic Credit,Domestic FRN,0.0228663802068568,117,Kapstream WS Plus Absolute Return Income
Coolabah Short Term Income Assisted Inv,SLT52AU,4.181857346893568,2.1865465616694895,-0.9897246116725114,7.902863475719455,2.5625985508021247,Domestic FRN,nan,0.026412602726655493,120,Coolabah Short Term Income Assisted Inv
Torica Absolute Return Income Fund,MST2AU,2.906162875074766,4.185221990249378,2.675226010205256,5.474219934290871,1.2859839928825176,Domestic FRN,Domestic Credit,0.02746585680710198,135,Torica Absolute Return Income Fund
Kapstream Absolute Return Income Class I,HOW165AU,9.394111664336993,8.236546740677563,4.36211463207089,-1.1602966416711449,3.406924538057024,Domestic Credit,Domestic Duration,0.021173813529591228,207,Kapstream Absolute Return Income Class I
SPW Global Growth,SIA1AU,-0.6007990818211913,0.7580472720150124,-1.5203791715266042,2.150956451176432,-1.4614866073191415,Alpha,nan,0.13760548602987105,179,SPW Global Growth
Kapstream Absolute Return Income,HOW52AU,8.507465726165792,10.562547733484557,4.753147475928193,-0.9326104878752374,2.6399836003847126,Domestic Credit,Domestic Duration,0.020696049183691105,207,Kapstream Absolute Return Income
Pendal Credit Income Fund,RFA65AU,6.201010163484866,1.1219582347207167,14.374045369393214,7.474022318517572,2.6459758508723317,Domestic Duration,Domestic FRN,0.019724275576437304,207,Pendal Credit Income Fund
MLC MultiActive Cash Enhanced,IOF91AU,12.517369954745643,9.64067094165678,0.7265747360784108,3.8220108852530355,1.8541448863546577,Cash,nan,0.02250713642532845,196,MLC MultiActive Cash Enhanced
Russell Aus Cash Enhanced Fund Class A,RIM37AU,12.934323195095423,6.919517528674561,0.6264339605029519,2.3082923806710944,2.3527311189532614,Cash,nan,0.022369498747725446,236,Russell Aus Cash Enhanced Fund Class A
Perpetual Exact Market Return,PER258AU,18.855283658088062,7.399596692875322,1.0188369763210217,-8.241124659882539,2.365765624802637,Domestic Credit,nan,0.02213769859642863,234,Perpetual Exact Market Return
Perpetual High Grade Floating Rate,PER265AU,14.832689289019648,6.834480958281171,0.532231688606923,4.802634836957079,4.6972493402080815,Domestic Credit,Domestic FRN,0.022710591438183318,244,Perpetual High Grade Floating Rate
Janus Henderson Cnsrv Fxd Intst,IOF47AU,12.93391771529213,9.144880565467725,0.7702299834153291,2.910618106440058,2.970496575757386,Domestic Credit,Domestic FRN,0.02200507801891173,244,Janus Henderson Cnsrv Fxd Intst
Pendal Short Term Income Securities Fd,WFS377AU,17.877653105028305,6.934832277757945,0.34236338291464297,1.4264470580507738,1.2604905661404024,Cash,nan,0.02177551504909036,244,Pendal Short Term Income Securities Fd
Macquarie Australian Diversified Inc Fd,MAQ24AU,15.531916745334376,5.419585272980388,3.2654298659317194,6.528717746702589,3.160062576140298,Domestic FRN,Domestic Credit,0.021568542179412172,244,Macquarie Australian Diversified Inc Fd
Australian Ethical Income,AUG3AU,10.709164096256522,2.4650836252825354,0.8639856250863841,0.9985147336815895,0.015092996785843008,Alpha,nan,0.022280987241161666,244,Australian Ethical Income
Vanguard Short Term Fixed Interest,VAN12AU,15.87561738284917,12.189027572418917,7.554743204425683,-10.697809318823444,1.7057815903363684,Domestic Credit,Domestic Duration,0.01923739510365105,244,Vanguard Short Term Fixed Interest
Macquarie Conservative Income,MAQ6AU,13.929923384278812,5.625623831951218,0.9243724665663988,-1.3835349449574244,0.7648793167433529,Domestic Credit,nan,0.02161796357435593,244,Macquarie Conservative Income
Fiducian Capital Safe,FPS1AU,16.032068232848104,7.059631593557585,0.09483148699574856,-2.9307128783064202,2.7831153931135018,Domestic Credit,nan,0.021945520580682432,244,Fiducian Capital Safe
Western Asset Cnsrv Inc A,SSB131AU,12.466785824076242,5.4967494526172915,-0.45057227687825613,5.7551317451040855,2.7803306399505585,Domestic FRN,Domestic Credit,0.023123576813244787,244,Western Asset Cnsrv Inc A
