,,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,,
BIM8414AU,Bombora Special Investments Growth,0.0059,0.486,0.1027,0.4138,0.0696,-0.2173,1.3341,4.2781,0.6589,2.1241,0.5472,-0.8177
ACM3950AU,AB Managed Volatility Equities-Carb Ofst,-0.0007,0.7038,-0.2105,-0.0706,0.086,0.1688,-0.405,16.5048,-3.5667,-0.9566,1.7946,1.7426
ALR2783AU,Australian Eagle Trust,0.0035,0.9374,0.0777,0.2574,0.3589,0.35,2.0606,19.7159,1.2033,3.2273,6.6602,3.1439
ETL8096AU,Paradice Equity Alpha Plus,0.0055,0.8294,0.1612,0.0372,0.0745,-0.0083,3.6309,21.3701,3.0757,0.5585,1.7092,-0.0974
CHN8862AU,CC Sage Capital Equity Plus,0.0042,0.8693,0.0095,0.0406,0.035,-0.0355,3.7903,31.1659,0.248,0.8488,1.0998,-0.5703
ETL6978AU,Milford Dynamic Small Companies Fund,0.0045,0.817,0.0055,0.6068,0.0373,-0.0505,2.5535,18.743,0.0913,8.0989,0.7423,-0.5186
FHT3726AU,Montgomery Small Companies,0.0042,0.8881,-0.024,0.9112,0.0984,-0.029,1.3688,11.5476,-0.2279,6.8931,1.1085,-0.1687
WPC7408AU,Perennial Value Emerging Companies Trust,-0.0041,0.9129,0.079,0.8917,-0.054,-0.225,-0.8457,7.443,0.4698,4.2393,-0.3859,-0.8216
RGL2432AU,Regal Emerging Companies III,0.0156,0.627,0.0087,0.3288,0.5974,-0.9567,2.0622,3.2845,0.0333,1.0044,2.7443,-2.245
WHT9368AU,Longwave Australian Small Companies A,0.0002,0.9584,0.1241,0.6469,0.0266,0.2059,0.1324,24.394,2.27,9.537,0.5862,2.3487
HOW2967AU,Eiger Australian Small Companies,0.003,0.9316,0.0133,0.8268,0.1353,-0.0872,1.1045,13.3642,0.1389,6.9138,1.7138,-0.557
PIM5565AU,1851 Emerging Companies,0.0061,0.9325,0.0384,0.7608,0.0092,-0.2824,2.0859,12.4835,0.3692,5.8777,0.1114,-1.7756
ETL3064AU,Armytage Micro Cap Activist,0.0098,0.4914,0.094,0.4076,0.0695,-0.0328,1.5831,3.1611,0.4382,1.5177,0.3943,-0.093
STE0001AU,Sterling Units,0.0063,0.633,0.2609,0.5286,0.0465,0.0771,2.8739,10.8768,3.1215,5.1873,0.8513,0.5316
WPC1770AU,Perennial Value Future Leaders Trust,-0.0065,0.9063,0.1178,0.9551,-0.0485,-0.2035,-1.3045,7.3624,0.6876,4.4942,-0.3411,-0.7409
TOT3036AU,Equanimity High Conviction Ordinary,,,,,,,,,,,,
ACI0632AU,Anacacia Wattle Fund,0.0077,0.5923,0.0402,0.7228,0.064,0.0262,2.9902,8.4232,0.398,6.0206,0.8092,0.1492
BEG4601AU,Australian Small and Mid-Cap Fund,0.0018,1.0253,-0.3973,0.4097,0.0025,-0.0831,0.7027,13.5098,-4.5524,3.493,0.0312,-0.5734
BLK6723AU,BlackRock Australian Alpha Tilts S,-0.0001,0.9867,-0.0024,0.0285,0.0046,0.0588,-0.2459,75.8421,-0.134,1.266,0.3163,2.1239
OPS2991AU,ECP Growth Companies,0.0045,0.9379,-0.3641,0.3931,-0.1108,-0.007,1.2437,10.0808,-2.8759,2.4922,-1.0967,-0.0356
PIM4806AU,Melior Australian Impact,0.0008,0.905,-0.0714,0.0799,-0.0114,0.276,0.4994,22.7844,-1.3312,1.1775,-0.2545,3.1621
PIM8302AU,DNR Capital Australian Equities Income,0.0039,0.7893,-0.0505,0.1348,-0.098,-0.3857,1.641,11.2759,-0.6282,1.3449,-1.4863,-2.9999
FHT0010AU,Sandon Capital Activist,0.0048,0.5489,0.107,0.4094,0.0816,-0.3749,2.0938,9.0218,1.2258,3.8324,1.4254,-2.4624
ECL7259AU,Ellerston Equity Income KIS Fund,0.002,0.8732,-0.0579,0.0856,-0.0105,0.0105,1.0243,17.7391,-0.8589,1.0069,-0.1897,0.0955
FHT3495AU,Maven Smaller Companies,0.0025,0.6084,0.1464,0.985,0.1648,0.3598,0.4701,3.8774,0.712,3.1231,0.9717,1.1625
PDL0422AU,Pendal Focus Australian Equities,0.0011,0.9081,0.0712,0.0577,-0.0196,-0.0683,1.0268,28.2367,1.7147,0.9103,-0.5654,-1.0951
VIL2854AU,Spatium Small Companies,0.0044,1.0887,-0.1111,0.8626,-0.1448,0.4876,0.7807,6.7195,-0.5924,3.6835,-0.9482,1.6224
AAP5529AU,Ausbil Australian SmallCap,0.0096,0.9824,0.1365,0.9244,0.2109,-0.1512,3.119,11.0151,1.3313,6.7068,2.2227,-0.8873
WHT2589AU,Solaris Australian Equity Income,-0.0003,0.9773,-0.0418,-0.0256,-0.0011,-0.031,-0.6091,62.6975,-1.9869,-0.9729,-0.0619,-0.8539
EPF3813AU,Ethical Partners Australian Share B,-0.0025,0.9459,0.0101,0.1505,-0.0181,-0.103,-1.1961,17.9179,0.1368,1.6444,-0.3018,-0.8322
EVO4741AU,Contact Australian Ex-50,-0.0016,0.8804,-0.1205,0.2452,0.1612,0.0922,-0.6746,12.5361,-1.4942,2.4379,2.4381,0.7151
PIM1925AU,First Sentier ex-20 Australian Share W,0.0044,1.0723,-0.1431,0.8474,0.055,0.1919,1.4861,14.4121,-1.4022,6.6255,0.6401,1.1553
HOW2217AU,Merlon Concentrated Australian Share A,0.0026,0.9201,0.148,0.1932,-0.1024,-0.4063,1.1803,16.2024,1.8889,1.9863,-1.5398,-2.9663
RGL8372AU,Regal Emerging Companies Opports Gen,0.0055,0.3307,0.4396,0.6404,0.4039,-0.659,1.1311,2.3605,2.3556,2.1259,2.6518,-2.3742
ARG3633AU,Argonaut Natural Resources,0.0152,0.6777,0.8034,0.843,-0.0462,0.8391,2.5453,4.496,3.8054,3.2008,-0.2767,2.5922
WRA3342AU,Warakirri Concentrated Australian Eqs,0.0018,0.9454,-0.1861,-0.0502,-0.1202,-0.0364,1.1903,21.3849,-3.6602,-0.7343,-2.5549,-0.4306
ACQ3509AU,Acorn Capital NextGen Resources Ordinary,0.0032,0.9376,0.6933,1.1853,0.1931,0.108,0.3835,3.9292,2.257,2.41,0.7509,0.2379
VAN4509AU,Vanguard Ethically Cons Aust Shrs Whlsl,0.001,1.0811,-0.1598,0.0992,-0.002,-0.0718,1.1123,42.1283,-4.7482,1.8348,-0.0735,-1.4369
