,GREIT,GREIT_HEDGED,INFRA,INFRA_HEDGED,AREIT,RFRATE
29/12/2023,0.063280022,0.085955011,0.007393409,0.029665938,0.115434929,0.003691046
31/01/2024,-0.007698101,-0.039419125,0.003803571,-0.023337377,0.013045781,0.003696219
29/02/2024,0.009183356,-0.003736283,0.015630492,0.004003319,0.050799551,0.00344664
29/03/2024,0.032893551,0.02691643,0.042107007,0.046203917,0.096989764,0.003670859
30/04/2024,-0.05454717,-0.05604103,-0.000244993,-0.000775282,-0.077884829,0.003523363
31/05/2024,0.011203052,0.036229725,0.038698818,0.052482991,0.019405397,0.003747055
28/06/2024,0.000851591,0.009173301,-0.03448783,-0.027720647,0.004386308,0.003501907
31/07/2024,0.082869883,0.05555107,0.066288485,0.044098931,0.068316448,0.003737101
30/08/2024,0.026809492,0.056019977,0.011268681,0.030765335,0.005429441,0.003778699
30/09/2024,0.005188592,0.025746556,0.011274899,0.031593561,0.065804257,0.003587837
31/10/2024,0.005244095,-0.039704429,0.043145184,0.004215269,-0.025160978,0.003743651
29/11/2024,0.031381395,0.030121759,0.040668459,0.040347007,0.024811278,0.00360743
31/12/2024,-0.019695033,-0.068605427,0.007290469,-0.033706507,-0.059232735,0.003766007
