,con,modcon,bal,gro,hg
30/09/2023,-0.000513794,-0.000321569,-0.001128372,0.000208981,0.001561788
31/10/2023,-0.01514468,-0.019155486,-0.0242946,-0.025108511,-0.025637857
30/11/2023,-0.01096744,-0.011076808,-0.013266841,-0.01190527,-0.011682485
31/12/2023,0.02764189,0.030283139,0.035272721,0.034842788,0.035856553
31/01/2024,0.030122988,0.028035583,0.029982173,0.024627954,0.023545708
29/02/2024,0.010055957,0.010484734,0.012222896,0.012000003,0.014211613
31/03/2024,0.016451562,0.023010359,0.028920621,0.03301143,0.038877104
30/04/2024,0.017780233,0.019395218,0.022459668,0.021828476,0.022545035
31/05/2024,-0.014548598,-0.016580361,-0.020080336,-0.019162559,-0.019957335
30/06/2024,0.006183449,0.0068753,0.007771033,0.008373073,0.01005181
31/07/2024,0.004255571,0.005168879,0.005521408,0.006431355,0.008577
31/08/2024,0.021009826,0.02167091,0.02436673,0.021969403,0.020015789
30/09/2024,0.002928665,0.002835754,0.003221654,0.004122065,0.004005978
31/10/2024,0.016343481,0.016090547,0.017430005,0.014675794,0.012829542
30/11/2024,-0.003408555,-0.001667616,-0.001942652,0.000381457,0.003011489
31/12/2024,0.017761681,0.019007791,0.022049093,0.021094829,0.022820845
